neuron_id,neuron_type,session_name,group_name
1,SIR,ESHOCK_03_LOC1,shock
4,SIR,ESHOCK_03_LOC1,shock
5,FF,ESHOCK_03_LOC1,shock
6,SIR,ESHOCK_03_LOC1,shock
8,SR,ESHOCK_03_LOC1,shock
9,SIR,ESHOCK_04_LOC1,shock
12,SIR,ESHOCK_04_LOC1,shock
17,SIR,ESHOCK_04_LOC1,shock
18,SIR,ESHOCK_04_LOC1,shock
22,SR,ESHOCK_04_LOC1,shock
27,SIR,ESHOCK_04_LOC1,shock
31,SIR,ESHOCK_04_LOC1,shock
32,SIR,ESHOCK_04_LOC1,shock
33,SIR,ESHOCK_04_LOC1,shock
34,SIR,ESHOCK_04_LOC1,shock
35,SIR,ESHOCK_04_LOC1,shock
36,SR,ESHOCK_04_LOC1,shock
37,SR,ESHOCK_04_LOC1,shock
38,SR,ESHOCK_04_LOC1,shock
39,SR,ESHOCK_04_LOC1,shock
40,SIR,ESHOCK_04_LOC1,shock
41,FF,ESHOCK_04_LOC1,shock
42,FF,ESHOCK_04_LOC1,shock
43,FF,ESHOCK_04_LOC1,shock
44,SIR,ESHOCK_04_LOC1,shock
45,FF,ESHOCK_04_LOC1,shock
46,FF,ESHOCK_04_LOC1,shock
47,SR,ESHOCK_04_LOC1,shock
48,SR,ESHOCK_06_LOC1,sham
49,FF,ESHOCK_06_LOC1,sham
50,SR,ESHOCK_06_LOC1,sham
51,SR,ESHOCK_06_LOC1,sham
52,SR,ESHOCK_06_LOC1,sham
54,SR,ESHOCK_06_LOC1,sham
55,SR,ESHOCK_06_LOC1,sham
57,FF,ESHOCK_06_LOC1,sham
58,SR,ESHOCK_06_LOC1,sham
59,SIR,ESHOCK_06_LOC1,sham
60,SR,ESHOCK_06_LOC1,sham
62,FF,ESHOCK_06_LOC1,sham
63,SR,ESHOCK_06_LOC1,sham
64,SIR,ESHOCK_06_LOC1,sham
69,SIR,ESHOCK_06_LOC1,sham
70,SR,ESHOCK_06_LOC1,sham
73,SR,ESHOCK_06_LOC1,sham
74,SR,ESHOCK_06_LOC1,sham
75,SR,ESHOCK_06_LOC1,sham
76,SIR,ESHOCK_06_LOC1,sham
77,SIR,ESHOCK_06_LOC1,sham
88,FF,ESHOCK_07_LOC1,sham
90,FF,ESHOCK_07_LOC1,sham
91,FF,ESHOCK_07_LOC1,sham
92,SIR,ESHOCK_07_LOC1,sham
95,SIR,ESHOCK_07_LOC1,sham
97,FF,ESHOCK_08_LOC1,sham
98,FF,ESHOCK_08_LOC1,sham
100,SIR,ESHOCK_08_LOC1,sham
101,FF,ESHOCK_08_LOC1,sham
102,SR,ESHOCK_08_LOC1,sham
103,SR,ESHOCK_08_LOC1,sham
104,SR,ESHOCK_08_LOC1,sham
105,SR,ESHOCK_08_LOC1,sham
106,SR,ESHOCK_08_LOC1,sham
107,SR,ESHOCK_08_LOC1,sham
108,FF,ESHOCK_08_LOC1,sham
109,SR,ESHOCK_08_LOC1,sham
110,SR,ESHOCK_08_LOC1,sham
111,FF,ESHOCK_08_LOC1,sham
115,SIR,ESHOCK_08_LOC1,sham
116,FF,ESHOCK_08_LOC1,sham
123,SIR,ESHOCK_08_LOC1,sham
125,SR,ESHOCK_08_LOC1,sham
126,SIR,ESHOCK_08_LOC1,sham
127,SIR,ESHOCK_08_LOC1,sham
129,SIR,ESHOCK_08_LOC1,sham
130,SR,ESHOCK_08_LOC1,sham
131,SR,ESHOCK_08_LOC1,sham
132,SR,ESHOCK_09_LOC1,sham
135,FF,ESHOCK_09_LOC1,sham
144,FF,ESHOCK_09_LOC1,sham
145,SIR,ESHOCK_09_LOC1,sham
151,SIR,ESHOCK_09_LOC1,sham
152,FF,ESHOCK_09_LOC1,sham
153,SIR,ESHOCK_09_LOC1,sham
154,FF,ESHOCK_09_LOC1,sham
155,SR,ESHOCK_09_LOC1,sham
156,SR,ESHOCK_09_LOC1,sham
157,FF,ESHOCK_09_LOC1,sham
164,FF,ESHOCK_09_LOC1,sham
176,FF,ESHOCK_09_LOC1,sham
181,FF,ESHOCK_09_LOC1,sham
182,FF,ESHOCK_09_LOC1,sham
1011,SR,hamilton_10,acute_cit
1013,SR,hamilton_10,acute_cit
1015,SR,hamilton_10,acute_cit
1016,SR,hamilton_10,acute_cit
1018,SR,hamilton_10,acute_cit
1019,SIR,hamilton_10,acute_cit
1020,SIR,hamilton_10,acute_cit
1021,FF,hamilton_03,acute_sal
1022,SIR,hamilton_03,acute_sal
1024,SR,hamilton_03,acute_sal
1025,SR,hamilton_03,acute_sal
1026,SR,hamilton_03,acute_sal
1027,SR,hamilton_03,acute_sal
1028,SR,hamilton_03,acute_sal
1029,FF,hamilton_03,acute_sal
1030,SR,hamilton_03,acute_sal
1031,FF,hamilton_04,acute_cit
1032,SR,hamilton_04,acute_cit
1034,SR,hamilton_04,acute_cit
1037,SIR,hamilton_04,acute_cit
1040,SIR,hamilton_04,acute_cit
1041,SIR,hamilton_04,acute_cit
1044,SIR,hamilton_04,acute_cit
1045,SIR,hamilton_04,acute_cit
1046,SR,hamilton_04,acute_cit
1047,SR,hamilton_04,acute_cit
1048,SIR,hamilton_04,acute_cit
1049,SR,hamilton_04,acute_cit
1050,SR,hamilton_04,acute_cit
1051,FF,hamilton_09,acute_cit
1052,SR,hamilton_09,acute_cit
1053,FF,hamilton_09,acute_cit
1054,FF,hamilton_09,acute_cit
