neuron_id,oscillation,mean_angle,neuron_type,session_name,group_name
1,delta,-0.73,SIR,ESHOCK_03_LOC1,shock
5,delta,0.03,FF,ESHOCK_03_LOC1,shock
12,delta,2.41,SIR,ESHOCK_04_LOC1,shock
22,delta,1.41,SR,ESHOCK_04_LOC1,shock
22,theta,1.83,SR,ESHOCK_04_LOC1,shock
31,delta,1.77,SIR,ESHOCK_04_LOC1,shock
39,delta,2.26,SR,ESHOCK_04_LOC1,shock
39,theta,0.39,SR,ESHOCK_04_LOC1,shock
41,delta,1.98,FF,ESHOCK_04_LOC1,shock
41,theta,1.18,FF,ESHOCK_04_LOC1,shock
43,delta,2.01,FF,ESHOCK_04_LOC1,shock
43,theta,1.68,FF,ESHOCK_04_LOC1,shock
44,delta,0.78,SIR,ESHOCK_04_LOC1,shock
44,theta,1.85,SIR,ESHOCK_04_LOC1,shock
45,delta,0.93,FF,ESHOCK_04_LOC1,shock
45,theta,1.98,FF,ESHOCK_04_LOC1,shock
46,delta,1.74,FF,ESHOCK_04_LOC1,shock
46,theta,1.5,FF,ESHOCK_04_LOC1,shock
48,delta,-2.28,SR,ESHOCK_06_LOC1,sham
48,theta,3.0,SR,ESHOCK_06_LOC1,sham
49,delta,-3.14,FF,ESHOCK_06_LOC1,sham
49,theta,2.56,FF,ESHOCK_06_LOC1,sham
50,delta,-2.35,SR,ESHOCK_06_LOC1,sham
50,theta,1.79,SR,ESHOCK_06_LOC1,sham
51,delta,-2.22,SR,ESHOCK_06_LOC1,sham
52,delta,-2.62,SR,ESHOCK_06_LOC1,sham
52,theta,2.4,SR,ESHOCK_06_LOC1,sham
54,delta,-2.69,SR,ESHOCK_06_LOC1,sham
54,theta,2.92,SR,ESHOCK_06_LOC1,sham
55,delta,-2.43,SR,ESHOCK_06_LOC1,sham
55,theta,2.88,SR,ESHOCK_06_LOC1,sham
57,delta,-2.37,FF,ESHOCK_06_LOC1,sham
58,delta,-2.62,SR,ESHOCK_06_LOC1,sham
58,theta,2.26,SR,ESHOCK_06_LOC1,sham
59,delta,-2.97,SIR,ESHOCK_06_LOC1,sham
60,delta,-1.7,SR,ESHOCK_06_LOC1,sham
62,delta,-2.58,FF,ESHOCK_06_LOC1,sham
62,theta,2.54,FF,ESHOCK_06_LOC1,sham
64,delta,-0.65,SIR,ESHOCK_06_LOC1,sham
69,delta,-1.67,SIR,ESHOCK_06_LOC1,sham
70,delta,-2.94,SR,ESHOCK_06_LOC1,sham
70,theta,1.98,SR,ESHOCK_06_LOC1,sham
73,delta,-2.59,SR,ESHOCK_06_LOC1,sham
73,theta,1.68,SR,ESHOCK_06_LOC1,sham
74,delta,-2.31,SR,ESHOCK_06_LOC1,sham
75,delta,-1.24,SR,ESHOCK_06_LOC1,sham
75,theta,-1.34,SR,ESHOCK_06_LOC1,sham
76,delta,-2.67,SIR,ESHOCK_06_LOC1,sham
77,delta,1.51,SIR,ESHOCK_06_LOC1,sham
77,theta,2.04,SIR,ESHOCK_06_LOC1,sham
84,delta,0.58,SR,ESHOCK_07_LOC1,sham
85,delta,0.55,SR,ESHOCK_07_LOC1,sham
86,delta,-0.8,SR,ESHOCK_07_LOC1,sham
86,theta,1.83,SR,ESHOCK_07_LOC1,sham
88,delta,-0.67,FF,ESHOCK_07_LOC1,sham
88,theta,1.76,FF,ESHOCK_07_LOC1,sham
89,delta,-3.09,SR,ESHOCK_07_LOC1,sham
90,delta,-0.43,FF,ESHOCK_07_LOC1,sham
90,theta,2.36,FF,ESHOCK_07_LOC1,sham
91,delta,-1.11,FF,ESHOCK_07_LOC1,sham
91,theta,1.67,FF,ESHOCK_07_LOC1,sham
92,delta,1.71,SIR,ESHOCK_07_LOC1,sham
92,theta,-1.36,SIR,ESHOCK_07_LOC1,sham
93,delta,2.29,SR,ESHOCK_07_LOC1,sham
93,theta,0.21,SR,ESHOCK_07_LOC1,sham
94,delta,-0.27,SIR,ESHOCK_07_LOC1,sham
94,theta,-0.72,SIR,ESHOCK_07_LOC1,sham
95,delta,1.76,SIR,ESHOCK_07_LOC1,sham
95,theta,-0.69,SIR,ESHOCK_07_LOC1,sham
98,delta,-2.48,FF,ESHOCK_08_LOC1,sham
99,delta,-3.1,SIR,ESHOCK_08_LOC1,sham
100,delta,-2.08,SIR,ESHOCK_08_LOC1,sham
101,delta,-2.44,FF,ESHOCK_08_LOC1,sham
102,delta,-1.84,SR,ESHOCK_08_LOC1,sham
102,theta,-0.73,SR,ESHOCK_08_LOC1,sham
104,delta,-1.23,SR,ESHOCK_08_LOC1,sham
105,delta,-2.64,SR,ESHOCK_08_LOC1,sham
105,theta,-0.56,SR,ESHOCK_08_LOC1,sham
107,delta,-2.47,SR,ESHOCK_08_LOC1,sham
108,delta,-2.61,FF,ESHOCK_08_LOC1,sham
109,delta,-2.59,SR,ESHOCK_08_LOC1,sham
110,delta,-2.72,SR,ESHOCK_08_LOC1,sham
111,delta,-2.41,FF,ESHOCK_08_LOC1,sham
114,delta,-3.11,FF,ESHOCK_08_LOC1,sham
116,delta,-2.54,FF,ESHOCK_08_LOC1,sham
117,delta,2.79,FF,ESHOCK_08_LOC1,sham
118,delta,-3.12,SIR,ESHOCK_08_LOC1,sham
120,delta,-2.38,SIR,ESHOCK_08_LOC1,sham
121,delta,-1.31,SR,ESHOCK_08_LOC1,sham
122,delta,-2.63,SIR,ESHOCK_08_LOC1,sham
124,delta,-2.58,SIR,ESHOCK_08_LOC1,sham
125,delta,-2.53,SR,ESHOCK_08_LOC1,sham
126,delta,-2.7,SIR,ESHOCK_08_LOC1,sham
127,delta,-1.72,SIR,ESHOCK_08_LOC1,sham
128,delta,-2.39,FF,ESHOCK_08_LOC1,sham
132,delta,-2.5,SR,ESHOCK_09_LOC1,sham
135,delta,-2.18,FF,ESHOCK_09_LOC1,sham
136,delta,-2.51,SR,ESHOCK_09_LOC1,sham
138,delta,-1.36,SR,ESHOCK_09_LOC1,sham
138,theta,-0.49,SR,ESHOCK_09_LOC1,sham
139,delta,-2.68,SR,ESHOCK_09_LOC1,sham
140,delta,-2.6,SR,ESHOCK_09_LOC1,sham
140,theta,-1.99,SR,ESHOCK_09_LOC1,sham
142,delta,-2.35,SR,ESHOCK_09_LOC1,sham
144,delta,-2.73,FF,ESHOCK_09_LOC1,sham
144,theta,1.42,FF,ESHOCK_09_LOC1,sham
145,delta,-2.86,SIR,ESHOCK_09_LOC1,sham
146,delta,-2.76,SR,ESHOCK_09_LOC1,sham
147,delta,1.13,SR,ESHOCK_09_LOC1,sham
147,theta,-2.4,SR,ESHOCK_09_LOC1,sham
151,delta,-1.61,SIR,ESHOCK_09_LOC1,sham
151,theta,-2.7,SIR,ESHOCK_09_LOC1,sham
152,delta,-2.45,FF,ESHOCK_09_LOC1,sham
153,delta,-1.5,SIR,ESHOCK_09_LOC1,sham
154,delta,-2.4,FF,ESHOCK_09_LOC1,sham
154,theta,-2.76,FF,ESHOCK_09_LOC1,sham
155,delta,-2.24,SR,ESHOCK_09_LOC1,sham
155,theta,-0.03,SR,ESHOCK_09_LOC1,sham
156,delta,-2.64,SR,ESHOCK_09_LOC1,sham
157,delta,-2.6,FF,ESHOCK_09_LOC1,sham
157,theta,1.52,FF,ESHOCK_09_LOC1,sham
158,delta,0.25,SIR,ESHOCK_09_LOC1,sham
159,delta,0.03,SIR,ESHOCK_09_LOC1,sham
159,theta,-2.24,SIR,ESHOCK_09_LOC1,sham
161,delta,-2.34,SR,ESHOCK_09_LOC1,sham
