Source,ddof1,ddof2,F,p-unc,np2,neuron_id,p_adj,session_name,neuron_type
block,2,1796,875.54,0.0,0.49,1031,0.0,hamilton_04,FF
block,2,1796,138.13,0.0,0.13,1032,0.0,hamilton_04,SR
block,2,1796,292.68,0.0,0.25,1034,0.0,hamilton_04,SR
block,2,1796,55.15,0.0,0.06,1035,0.0,hamilton_04,SR
block,2,1796,70.99,0.0,0.07,1036,0.0,hamilton_04,SIR
block,2,1796,98.07,0.0,0.1,1037,0.0,hamilton_04,SIR
block,2,1796,44.82,0.0,0.05,1038,0.0,hamilton_04,SR
block,2,1796,12.36,0.0,0.01,1040,0.0,hamilton_04,SIR
block,2,1796,20.77,0.0,0.02,1041,0.0,hamilton_04,SIR
block,2,1796,613.51,0.0,0.41,1044,0.0,hamilton_04,SIR
block,2,1796,68.28,0.0,0.07,1045,0.0,hamilton_04,SIR
block,2,1796,368.62,0.0,0.29,1046,0.0,hamilton_04,SR
block,2,1796,97.59,0.0,0.1,1047,0.0,hamilton_04,SR
block,2,1796,28.64,0.0,0.03,1048,0.0,hamilton_04,SIR
block,2,1796,317.15,0.0,0.26,1049,0.0,hamilton_04,SR
block,2,1796,161.82,0.0,0.15,1050,0.0,hamilton_04,SR
block,2,1796,50.47,0.0,0.05,1051,0.0,hamilton_09,FF
block,2,1796,215.21,0.0,0.19,1052,0.0,hamilton_09,SR
block,2,1796,283.78,0.0,0.24,1053,0.0,hamilton_09,FF
block,2,1796,199.79,0.0,0.18,1054,0.0,hamilton_09,FF
block,2,1796,103.53,0.0,0.1,1055,0.0,hamilton_09,FF
block,2,1796,21.86,0.0,0.02,1056,0.0,hamilton_09,SIR
block,2,1796,381.5,0.0,0.3,1057,0.0,hamilton_09,FF
block,2,1796,479.29,0.0,0.35,1058,0.0,hamilton_09,SR
block,2,1796,224.12,0.0,0.2,1059,0.0,hamilton_09,SR
block,2,1796,142.58,0.0,0.14,1060,0.0,hamilton_09,SR
block,2,1796,392.3,0.0,0.3,1061,0.0,hamilton_09,SR
block,2,1796,116.2,0.0,0.11,1062,0.0,hamilton_09,SIR
block,2,1796,37.22,0.0,0.04,1064,0.0,hamilton_09,FF
block,2,1796,74.53,0.0,0.08,1065,0.0,hamilton_09,SR
block,2,1796,37.06,0.0,0.04,1068,0.0,hamilton_09,FF
block,2,1796,19.8,0.0,0.02,1613,0.0,hamilton_31,SIR
block,2,1796,99.41,0.0,0.1,1614,0.0,hamilton_31,SIR
block,2,1796,97.32,0.0,0.1,1615,0.0,hamilton_31,SIR
block,2,1796,117.15,0.0,0.12,1616,0.0,hamilton_31,SIR
block,2,1796,19.98,0.0,0.02,1617,0.0,hamilton_31,SIR
block,2,1796,283.41,0.0,0.24,1619,0.0,hamilton_31,SIR
block,2,1796,271.99,0.0,0.23,1620,0.0,hamilton_31,SR
block,2,1796,19.6,0.0,0.02,1621,0.0,hamilton_31,SIR
block,2,1796,205.98,0.0,0.19,1622,0.0,hamilton_31,SIR
block,2,1796,62.36,0.0,0.06,1623,0.0,hamilton_31,SIR
block,2,1796,104.42,0.0,0.1,1625,0.0,hamilton_31,SIR
block,2,1796,455.9,0.0,0.34,1626,0.0,hamilton_31,SIR
block,2,1796,81.29,0.0,0.08,1632,0.0,hamilton_31,SIR
block,2,1796,57.95,0.0,0.06,1636,0.0,hamilton_31,SIR
block,2,1796,748.13,0.0,0.45,1638,0.0,hamilton_31,SIR
block,2,1796,47.87,0.0,0.05,1639,0.0,hamilton_31,SIR
block,2,1796,55.81,0.0,0.06,1640,0.0,hamilton_31,FF
block,2,1796,364.45,0.0,0.29,1641,0.0,hamilton_31,SIR
block,2,1796,54.04,0.0,0.06,1642,0.0,hamilton_31,SIR
block,2,1796,160.89,0.0,0.15,1644,0.0,hamilton_31,SIR
block,2,1796,175.28,0.0,0.16,1645,0.0,hamilton_31,SIR
block,2,1796,502.99,0.0,0.36,1647,0.0,hamilton_31,SR
block,2,1796,13.3,0.0,0.01,1648,0.0,hamilton_31,SIR
block,2,1796,133.87,0.0,0.13,1649,0.0,hamilton_31,SIR
block,2,1796,139.86,0.0,0.13,1650,0.0,hamilton_31,SIR
block,2,1796,137.79,0.0,0.13,1651,0.0,hamilton_31,SR
block,2,1796,398.86,0.0,0.31,1655,0.0,hamilton_31,SIR
block,2,1796,294.05,0.0,0.25,1657,0.0,hamilton_31,SR
block,2,1796,172.8,0.0,0.16,1658,0.0,hamilton_31,SR
block,2,1796,230.32,0.0,0.2,1659,0.0,hamilton_31,SIR
block,2,1796,1046.47,0.0,0.54,1660,0.0,hamilton_31,FF
block,2,1796,53.67,0.0,0.06,1661,0.0,hamilton_31,SR
block,2,1796,1197.97,0.0,0.57,1663,0.0,hamilton_31,SIR
block,2,1796,17.37,0.0,0.02,1664,0.0,hamilton_31,SIR
block,2,1796,138.17,0.0,0.13,1666,0.0,hamilton_31,SR
block,2,1796,95.74,0.0,0.1,1667,0.0,hamilton_31,SIR
block,2,1796,323.09,0.0,0.26,1668,0.0,hamilton_31,SR
block,2,1796,152.64,0.0,0.15,1669,0.0,hamilton_31,SIR
block,2,1796,220.67,0.0,0.2,1670,0.0,hamilton_31,SIR
block,2,1796,138.02,0.0,0.13,1671,0.0,hamilton_31,SIR
block,2,1796,188.78,0.0,0.17,1675,0.0,hamilton_31,SIR
block,2,1796,109.44,0.0,0.11,1676,0.0,hamilton_31,SIR
block,2,1796,63.87,0.0,0.07,1678,0.0,hamilton_31,SIR
block,2,1796,81.21,0.0,0.08,1679,0.0,hamilton_31,SIR
block,2,1796,519.98,0.0,0.37,1680,0.0,hamilton_31,SR
block,2,1796,55.48,0.0,0.06,1681,0.0,hamilton_31,SIR
block,2,1796,264.4,0.0,0.23,1682,0.0,hamilton_31,SR
block,2,1796,82.6,0.0,0.08,1683,0.0,hamilton_31,SIR
block,2,1796,238.77,0.0,0.21,1684,0.0,hamilton_31,SIR
block,2,1796,204.93,0.0,0.19,1685,0.0,hamilton_31,SIR
block,2,1796,334.19,0.0,0.27,1686,0.0,hamilton_31,SIR
block,2,1796,48.28,0.0,0.05,1687,0.0,hamilton_31,SIR
block,2,1796,2685.35,0.0,0.75,1690,0.0,hamilton_38,FF
block,2,1796,860.9,0.0,0.49,1691,0.0,hamilton_38,SIR
block,2,1796,488.41,0.0,0.35,1693,0.0,hamilton_38,FF
block,2,1796,212.06,0.0,0.19,1695,0.0,hamilton_38,SIR
block,2,1796,396.44,0.0,0.31,1697,0.0,hamilton_38,SR
block,2,1796,1078.6,0.0,0.55,1698,0.0,hamilton_38,SIR
block,2,1796,1239.62,0.0,0.58,1700,0.0,hamilton_38,SIR
block,2,1796,40.53,0.0,0.04,1706,0.0,hamilton_38,SIR
block,2,1796,1182.47,0.0,0.57,1708,0.0,hamilton_38,SR
block,2,1796,753.7,0.0,0.46,1709,0.0,hamilton_38,SIR
block,2,1796,546.56,0.0,0.38,1712,0.0,hamilton_38,SIR
block,2,1796,531.54,0.0,0.37,1713,0.0,hamilton_38,SIR
block,2,1796,580.94,0.0,0.39,1715,0.0,hamilton_38,SR
block,2,1796,486.51,0.0,0.35,1720,0.0,hamilton_38,SIR
block,2,1796,42.4,0.0,0.05,1721,0.0,hamilton_38,SIR
block,2,1796,589.48,0.0,0.4,1725,0.0,hamilton_38,SIR
block,2,1796,1594.15,0.0,0.64,1726,0.0,hamilton_38,SIR
block,2,1796,284.45,0.0,0.24,1727,0.0,hamilton_38,FF
block,2,1796,77.28,0.0,0.08,1728,0.0,hamilton_38,SIR
block,2,1796,3734.57,0.0,0.81,1732,0.0,hamilton_38,SIR
block,2,1796,500.61,0.0,0.36,1733,0.0,hamilton_38,SIR
block,2,1796,1730.06,0.0,0.66,1735,0.0,hamilton_38,SIR
block,2,1796,1344.11,0.0,0.6,1736,0.0,hamilton_38,SIR
block,2,1796,1136.4,0.0,0.56,1737,0.0,hamilton_38,SIR
block,2,1796,874.54,0.0,0.49,1739,0.0,hamilton_38,SR
block,2,1796,236.29,0.0,0.21,1741,0.0,hamilton_38,SR
block,2,1796,1074.02,0.0,0.54,1743,0.0,hamilton_38,FF
block,2,1796,148.84,0.0,0.14,1748,0.0,hamilton_38,SIR
block,2,1796,110.0,0.0,0.11,1749,0.0,hamilton_38,SIR
block,2,1796,195.86,0.0,0.18,1751,0.0,hamilton_38,SIR
block,2,1796,624.91,0.0,0.41,1752,0.0,hamilton_38,SIR
block,2,1796,846.47,0.0,0.49,1754,0.0,hamilton_38,SIR
block,2,1796,1223.47,0.0,0.58,1755,0.0,hamilton_38,SR
block,2,1796,1366.02,0.0,0.6,1760,0.0,hamilton_37,SR
block,2,1796,375.13,0.0,0.29,1767,0.0,hamilton_37,SR
block,2,1796,504.9,0.0,0.36,1769,0.0,hamilton_37,SR
block,2,1796,295.98,0.0,0.25,1772,0.0,hamilton_37,SIR
block,2,1796,0.88,0.41,0.0,1774,0.41,hamilton_37,SR
block,2,1796,596.77,0.0,0.4,1775,0.0,hamilton_37,SR
block,2,1796,332.07,0.0,0.27,1792,0.0,hamilton_37,SR
