neuron_id,degree,clust,page_rank,session,state,bin_width,neuron_type,in_ensemble,response_bs,phase_lock_delta,phase_lock_theta
1,0.048717796033011344,0.2259590012741417,0.1656490320461643,ESHOCK_03_LOC1,sw,0.05,SIR,True,activated,True,False
4,0.07014382083239204,0.31929655032519083,0.2276771026739789,ESHOCK_03_LOC1,sw,0.05,SIR,True,inhibited,False,False
5,0.11252683918069664,0.2596222072618642,0.35504741290053304,ESHOCK_03_LOC1,sw,0.05,FF,True,inhibited,True,False
6,0.034307630672364156,0.19137062899615462,0.12622816645546053,ESHOCK_03_LOC1,sw,0.05,SIR,True,inhibited,False,False
8,0.03422271492591381,0.18911130506794613,0.12539828592386376,ESHOCK_03_LOC1,sw,0.05,SR,True,inhibited,True,True
9,0.009272158078851199,0.09409682940340026,0.04310111997711092,ESHOCK_04_LOC1,sw,0.05,SIR,True,inhibited,True,True
12,0.01386169684653262,0.15908711409946155,0.057982590284469435,ESHOCK_04_LOC1,sw,0.05,SIR,True,inhibited,True,False
17,0.013157288501859677,0.17236012423521538,0.055180866835334824,ESHOCK_04_LOC1,sw,0.05,SIR,True,inhibited,True,True
18,0.0106790373308556,0.15518111656644534,0.04643897018945467,ESHOCK_04_LOC1,sw,0.05,SIR,True,inhibited,True,True
22,0.006564499047884199,0.06797774580961602,0.034138123720469496,ESHOCK_04_LOC1,sw,0.05,SR,True,activated,True,True
27,0.01128233138273913,0.13219689618590574,0.0480865173603762,ESHOCK_04_LOC1,sw,0.05,SIR,True,no_response,True,True
31,0.015273279832474807,0.17790641046413308,0.06219160321977451,ESHOCK_04_LOC1,sw,0.05,SIR,True,inhibited,True,False
32,0.006160154594295161,0.09227558888702428,0.029929752704871634,ESHOCK_04_LOC1,sw,0.05,SIR,True,inhibited,True,True
33,0.007129494315799009,0.12006736443336412,0.033171877533869895,ESHOCK_04_LOC1,sw,0.05,SIR,True,no_response,True,True
34,0.0049111451968741685,0.1364092137851098,0.029892777442066594,ESHOCK_04_LOC1,sw,0.05,SIR,True,inhibited,True,True
35,0.006655267329161401,0.15127872560311026,0.031166901095627954,ESHOCK_04_LOC1,sw,0.05,SIR,True,inhibited,False,False
